cntycode,county,total_votes,scott_votes,nelson_votes
01,Alachua,114997,40579,74418
02,Baker,10522,8579,1943
03,Bay,63331,46647,16684
04,Bradford,10451,7573,2878
05,Brevard,281238,160249,120989
06,Broward,682453,211119,471334
07,Calhoun,4615,3585,1030
08,Charlotte,86400,52903,33497
09,Citrus,70637,47989,22648
10,Clay,93303,65617,27686
11,Collier,155571,101236,54335
12,Columbia,24731,17230,7501
13,Miami-Dade,800755,315817,484938
14,DeSoto,8828,5501,3327
15,Dixie,5759,4441,1318
16,Duval,378034,185831,192203
17,Escambia,128745,75907,52838
18,Flagler,52852,31455,21397
19,Franklin,5402,3398,2004
20,Gadsden,19987,6050,13937
21,Gilchrist,7335,5703,1632
22,Glades,3821,2665,1156
23,Gulf,5895,4318,1577
24,Hamilton,4519,2856,1663
25,Hardee,6368,4455,1913
26,Hendry,8838,5302,3536
27,Hernando,80258,49481,30777
28,Highlands,39651,26271,13380
29,Hillsborough,520972,239560,281412
30,Holmes,6770,5916,854
31,Indian River,73949,44782,29167
32,Jackson,15955,10783,5172
33,Jefferson,7321,3699,3622
34,Lafayette,2815,2194,621
35,Lake,154801,93479,61322
36,Lee,289066,174289,114777
37,Leon,139772,48752,91020
38,Levy,16973,11657,5316
39,Liberty,2707,2075,632
40,Madison,7602,4181,3421
41,Manatee,163144,94336,68808
42,Marion,154527,95550,58977
43,Martin,77358,46702,30656
44,Monroe,36063,18027,18036
45,Nassau,43471,31783,11688
46,Okaloosa,83749,60888,22861
47,Okeechobee,11217,7725,3492
48,Orange,474456,180628,293828
49,Osceola,114936,47878,67058
50,Palm Beach,588562,244776,343786
51,Pasco,210598,121183,89415
52,Pinellas,434411,205889,228522
53,Polk,244351,138699,105652
54,Putnam,28023,18686,9337
55,St. Johns,130597,85011,45586
56,St. Lucie,123539,59598,63941
57,Santa Rosa,75376,56352,19024
58,Sarasota,210432,113545,96887
59,Seminole,198880,97434,101446
60,Sumter,74503,52848,21655
61,Suwannee,15873,11836,4037
62,Taylor,7905,5642,2263
63,Union,4841,3647,1194
64,Volusia,228487,125724,102763
65,Wakulla,14185,9320,4865
66,Walton,30237,22761,7476
67,Washington,9055,7097,1958
